,D/P
1996-01-01,-3.460716482153142
1996-02-01,-3.4944449756811338
1996-03-01,-3.526093156845814
1996-04-01,-3.8518322185100367
1996-05-01,-4.096822039231874
1996-06-01,-4.243593486850944
1996-07-01,-4.269717243559473
1996-08-01,-4.300523886328094
1996-09-01,-4.444358719926353
1996-10-01,-4.7328634470601045
1996-11-01,-4.868815922418108
1996-12-01,-4.7492553553835215
1997-01-01,-4.849100421206231
1997-02-01,-4.92605360125814
1997-03-01,-5.101407550865051
1997-04-01,-5.238157447350087
1997-05-01,-5.153693192733623
1997-06-01,-5.35523985101873
1997-07-01,-5.241916046846164
1997-08-01,-5.304680859802122
1997-09-01,-5.242420796338667
1997-10-01,-5.385902023681638
1997-11-01,-5.354804992041483
1997-12-01,-5.416072480645973
1998-01-01,-5.4536336864019574
1998-02-01,-5.4441526168854715
1998-03-01,-5.483410224382695
1998-04-01,-5.572682549512628
1998-05-01,-5.632014833887524
1998-06-01,-5.426215679291474
1998-07-01,-5.418639133051233
1998-08-01,-5.087638327265882
1998-09-01,-5.155445393081745
1998-10-01,-5.148778773139544
1998-11-01,-5.151885428627775
1998-12-01,-5.074926327305658
1999-01-01,-5.059705134709326
1999-02-01,-5.018487561414336
1999-03-01,-5.091504551838234
1999-04-01,-5.06909831827997
1999-05-01,-5.189498027589355
1999-06-01,-5.353572602951665
1999-07-01,-5.23280304435896
1999-08-01,-5.266435325721105
1999-09-01,-5.231595933223069
1999-10-01,-5.129487528687974
1999-11-01,-5.140473050316142
1999-12-01,-5.098388026324347
2000-01-01,-5.247730710698953
2000-02-01,-5.359863506647969
2000-03-01,-5.4265913293185015
2000-04-01,-5.409757091323698
2000-05-01,-5.388472907097121
2000-06-01,-5.332032128081121
2000-07-01,-5.341132573582954
2000-08-01,-5.329904390450359
2000-09-01,-5.305569009017976
2000-10-01,-5.37659609595158
2000-11-01,-5.437009601353221
2000-12-01,-5.469362173796245
2001-01-01,-5.478167409197447
2001-02-01,-5.431723930111364
2001-03-01,-5.505271143601714
2001-04-01,-5.453880045302213
2001-05-01,-5.270355321234074
2001-06-01,-5.069147819724606
2001-07-01,-4.86802543856065
2001-08-01,-4.9023275488250775
2001-09-01,-4.846663598664321
2001-10-01,-4.7931015962850445
2001-11-01,-4.821561139349008
2001-12-01,-4.7756190961381435
2002-01-01,-4.67186021077573
2002-02-01,-4.700746477995899
2002-03-01,-4.769240146792185
2002-04-01,-4.840988863550955
2002-05-01,-4.797886765952473
2002-06-01,-4.878286250798997
2002-07-01,-4.794642111049384
2002-08-01,-4.636126098517909
2002-09-01,-4.553846872198143
2002-10-01,-4.524782179401694
2002-11-01,-4.47874027879951
2002-12-01,-4.433723304855306
2003-01-01,-4.537143435511869
2003-02-01,-4.547938800371433
2003-03-01,-4.539373712788802
2003-04-01,-4.515725712271319
2003-05-01,-4.55615724665088
2003-06-01,-4.30410255649474
2003-07-01,-4.31857838343722
2003-08-01,-4.43783563119413
2003-09-01,-4.368390536522128
2003-10-01,-4.3473227173903375
2003-11-01,-4.3659112389545385
2003-12-01,-4.422976186727642
2004-01-01,-4.4912988355283545
2004-02-01,-4.552159168339905
2004-03-01,-4.586291267704091
2004-04-01,-4.444733803579162
2004-05-01,-4.332919071311284
2004-06-01,-4.204213062106884
2004-07-01,-4.182175672381089
2004-08-01,-4.144663124436285
2004-09-01,-4.1955661269602835
2004-10-01,-4.134689426886677
2004-11-01,-4.165354198144545
2004-12-01,-4.105572064023367
2005-01-01,-4.04447373184793
2005-02-01,-4.1429825818047945
2005-03-01,-4.050507095948586
2005-04-01,-4.009812444151859
2005-05-01,-3.879002608333142
2005-06-01,-3.73939856927592
2005-07-01,-3.685201171756141
2005-08-01,-3.703427169086897
2005-09-01,-3.7000136820123046
2005-10-01,-3.63803202148571
2005-11-01,-3.62736864276976
2005-12-01,-3.6665407373270185
2006-01-01,-3.7210870253668737
2006-02-01,-3.7358536963539954
2006-03-01,-3.682240865198114
2006-04-01,-3.783728178841976
2006-05-01,-3.8854968647308787
2006-06-01,-3.9185693828070924
2006-07-01,-3.9747138277690617
2006-08-01,-4.050348092627544
2006-09-01,-4.087128526540841
2006-10-01,-4.261771935240201
2006-11-01,-4.40357514576781
2006-12-01,-4.634492158582059
2007-01-01,-4.803626564549763
2007-02-01,-4.875321316383491
2007-03-01,-5.004999417456425
2007-04-01,-5.246162529845346
2007-05-01,-5.383011489937566
2007-06-01,-5.072914546834635
2007-07-01,-5.026002929201567
2007-08-01,-5.15757801991256
2007-09-01,-5.243964771614333
2007-10-01,-5.3319418046066325
2007-11-01,-5.371944883838729
2007-12-01,-5.499308967494997
2008-01-01,-5.337555603699087
2008-02-01,-5.34385053038519
2008-03-01,-5.1207869588757085
2008-04-01,-5.136796318078822
2008-05-01,-4.954083295924182
2008-06-01,-4.249409745874594
2008-07-01,-4.164645471815319
2008-08-01,-3.99659451891765
2008-09-01,-3.956911735643729
2008-10-01,-3.5667561565965364
2008-11-01,-3.579441279221001
2008-12-01,-3.5845843387897816
2009-01-01,-3.6754223122181173
2009-02-01,-3.7320902690549964
2009-03-01,-3.877843953918127
2009-04-01,-3.940387504415831
2009-05-01,-4.039170884742564
2009-06-01,-4.128150837753136
2009-07-01,-4.250834749952745
2009-08-01,-4.0232550922470445
2009-09-01,-4.079618524074675
2009-10-01,-4.150255281163776
2009-11-01,-4.317972442611499
2009-12-01,-4.356054679752621
2010-01-01,-4.278486720230799
2010-02-01,-4.322322164970103
2010-03-01,-4.34673370742949
2010-04-01,-4.2568144500886795
2010-05-01,-4.127379444135844
2010-06-01,-4.027440725468669
2010-07-01,-4.013779705603085
2010-08-01,-4.0543563265928775
2010-09-01,-4.0500344120029155
2010-10-01,-4.185967904556197
2010-11-01,-4.160301107557963
2010-12-01,-4.1629615774436886
2011-01-01,-4.142779056722503
2011-02-01,-4.199472954180813
2011-03-01,-4.193941223204149
2011-04-01,-4.181740855139179
2011-05-01,-4.116934657342661
2011-06-01,-4.048486877086084
2011-07-01,-3.935497774752278
2011-08-01,-3.8912028888421304
2011-09-01,-3.802317584578841
2011-10-01,-3.844613433546325
2011-11-01,-3.789124362500715
2011-12-01,-3.7154086157843302
2012-01-01,-3.74587666439945
2012-02-01,-3.8234038738273313
2012-03-01,-3.7608658805277813
2012-04-01,-3.8234773056024522
2012-05-01,-3.8108518343829623
2012-06-01,-3.881926869059974
2012-07-01,-3.5411600001571735
2012-08-01,-3.4904312347026654
2012-09-01,-3.507943573442443
2012-10-01,-3.501969097899547
2012-11-01,-3.4428246678038015
2012-12-01,-3.588455395716146
2013-01-01,-3.6422143986555504
2013-02-01,-3.645766993617279
2013-03-01,-3.5907895364744356
2013-04-01,-3.576725430362238
2013-05-01,-3.6411592647433757
2013-06-01,-3.507872405115922
2013-07-01,-3.384542031715558
2013-08-01,-3.447020974281884
2013-09-01,-3.485320364868727
2013-10-01,-3.46769208146166
2013-11-01,-3.5105738278371525
2013-12-01,-3.4796882004328324
2014-01-01,-3.4610918148600547
2014-02-01,-3.4772077876553418
2014-03-01,-3.459447108456576
2014-04-01,-3.4437419898106363
2014-05-01,-3.442476181499199
2014-06-01,-3.22131503084341
2014-07-01,-3.435715002725601
2014-08-01,-3.461962554031963
2014-09-01,-3.505520578110339
2014-10-01,-3.5534454375417965
2014-11-01,-3.6481643202805323
2014-12-01,-3.805353271572841
2015-01-01,-3.823515811955204
2015-02-01,-3.864590557619376
2015-03-01,-4.026114315031293
2015-04-01,-4.17352864524333
2015-05-01,-4.242314747129793
2015-06-01,-4.314970658809013
2015-07-01,-3.957081965228671
2015-08-01,-3.803325881317196
2015-09-01,-3.7750797299174152
2015-10-01,-3.917156185492704
2015-11-01,-3.9837562354028186
2015-12-01,-4.0643950830987166
2016-01-01,-3.7743675746559866
2016-02-01,-3.753021966198183
2016-03-01,-3.887546069790581
2016-04-01,-3.8848253428058435
2016-05-01,-3.88685533739244
2016-06-01,-3.7847194056292253
2016-07-01,-3.9093074545909445
2016-08-01,-3.9269851434127325
2016-09-01,-3.9191714085724776
2016-10-01,-3.9661396035205705
2016-11-01,-4.01896083245763
2016-12-01,-3.9806603527315616
2017-01-01,-4.001594996471766
2017-02-01,-4.039924725056174
2017-03-01,-4.040484442059867
2017-04-01,-4.015391502639577
2017-05-01,-3.9645062197969807
2017-06-01,-4.0186906794703425
2017-07-01,-3.8972548781862635
2017-08-01,-3.919472188659306
2017-09-01,-3.9327838240965853
2017-10-01,-3.9476853509964336
2017-11-01,-3.931015549501268
2017-12-01,-3.939761990388
2018-01-01,-3.9721861688317723
2018-02-01,-3.920361154334671
2018-03-01,-3.9027934700302644
2018-04-01,-3.8748841789836597
2018-05-01,-3.8035161528437342
2018-06-01,-3.6885844875416858
2018-07-01,-3.6810990774232586
2018-08-01,-3.6224823421211454
2018-09-01,-3.644192667364848
2018-10-01,-3.549947475683471
2018-11-01,-3.573022152312067
2018-12-01,-3.5314647966686437
2019-01-01,-3.572470540901879
2019-02-01,-3.7190411043102856
2019-03-01,-3.7861742265950262
2019-04-01,-3.7650331647713102
2019-05-01,-3.7061517858616995
2019-06-01,-3.666211396753482
2019-07-01,-3.667364214501088
2019-08-01,-3.6579878654521814
2019-09-01,-3.6711255127454017
2019-10-01,-3.6863313068659593
2019-11-01,-3.670675158304448
2019-12-01,-3.751650312573485
