,D/E,D/P,D/Y,E/P,B/M,SVAR,INF,NTIS,TO,M0G,M1G,M2G
2002/1/1,0.023872838,0.033245639,0.028198713,0.015840891,0.026905265,0.007772857,0.012265953,-0.001622049,0.004665577,0.006392616,-0.007690639,0.00591752
2002/2/1,0.019129615,0.036081803,0.028260481,0.024868129,0.035417397,0.045100699,0.01751348,-0.002415094,0.004406622,0.003151661,0.042127616,0.020796177
2002/3/1,0.019141982,0.034342076,0.03333153,0.023701934,0.032125882,0.004334401,0.022225751,-0.002257538,0.001432065,0.02055531,0.039485567,0.021159696
2002/4/1,0.02008874,0.031288895,0.032300364,0.019686145,0.025896049,0.01487765,0.041292025,-0.001867235,0.014796476,0.035716094,-0.008068079,0.011111362
2002/5/1,0.020804121,0.027716922,0.02842091,0.012603216,0.036438714,0.007392664,-0.01433037,-0.001667956,0.008189426,0.015016238,0.015206378,0.026744015
2002/6/1,0.017637676,0.02811244,0.021426762,0.017176327,0.044006968,0.008401143,0.007484897,-0.002282488,0.00316323,0.028155889,0.017620229,0.01962807
2002/7/1,0.021816455,0.025751002,0.030271486,0.004274088,0.031600839,0.031000453,0.009393055,-0.001108452,0.012590856,0.022702563,0.007543345,0.009950879
2002/8/1,0.020250612,0.029064277,0.024556053,0.005462014,0.038609919,0.004597982,-0.005776284,-0.001502652,0.008324918,0.014989791,0.030678598,0.022071024
2002/9/1,0.021540608,0.036874366,0.034679012,0.002155484,0.036231759,0.004037749,-0.000700729,-0.001498956,0.004082376,0.013413276,0.007431913,0.015764425
2002/10/1,0.016011772,0.038968101,0.03360003,0.00394868,0.039859981,0.003100924,0.022606566,-0.001921397,0.00156115,0.009974982,0.011097539,0.00799583
2002/11/1,0.011008527,0.038062038,0.033752837,0.010537823,0.047182759,0.003218475,0.038449698,-0.002382091,0.000735775,0.021169118,0.028904127,0.025705718
2002/12/1,0.007312064,0.037607256,0.032826508,0.018785903,0.05010518,0.009008382,0.017835457,-0.002656446,0.003154283,0.011417226,0.00895127,0.013368028
2003/1/1,0.0050036,0.036937776,0.032939699,0.026180847,0.051450228,0.003305786,0.010087585,-0.0028631,0.002370802,0.001366958,-0.002958457,-0.001339457
2003/2/1,0.009229174,0.034249752,0.036610259,0.019929369,0.046005831,0.012341289,0.02024055,-0.002527095,0.010356664,-0.039303779,0.024997921,0.000640472
2003/3/1,0.009460283,0.033161995,0.031568333,0.021148628,0.043681926,0.002235831,0.038224254,-0.002487358,0.00214919,0.052105221,0.043788509,0.026795889
2003/4/1,0.009162108,0.032599655,0.03040711,0.023655939,0.04276033,0.002997821,0.03267362,-0.002507151,0.003940418,0.025699246,-0.016254587,0.006228453
2003/5/1,0.008360782,0.032751921,0.030970431,0.022796482,0.043449254,0.008180601,-0.000731452,-0.002556087,0.021643065,0.011902523,0.025868726,0.01748879
2003/6/1,0.00942819,0.031273397,0.03083431,0.019567366,0.040083987,0.005126227,0.008528651,-0.002267374,0.008840569,0.019916838,0.002946945,0.010866872
2003/7/1,0.004185795,0.03920169,0.034777214,0.024120313,0.043198891,0.00155592,-0.003162549,-0.002469582,0.005935521,0.01698696,0.001570724,0.002063447
2003/8/1,0.004624883,0.036937699,0.035268885,0.029440547,0.044916155,0.001081032,-0.014200008,-0.002612487,0.004594196,0.010180387,0.03282823,0.018678495
2003/9/1,0.007078414,0.03049221,0.02815957,0.03643863,0.044344763,-0.000891764,0.000657081,-0.002742909,0.000242344,0.011588879,0.007931305,0.005999785
2003/10/1,0.006462698,0.031000805,0.028785797,0.042713879,0.043301732,2.15E-05,0.026778997,-0.002931515,0.00103956,0.005948311,0.003691578,0.011157941
2003/11/1,0.006003388,0.030176865,0.02864679,0.043320276,0.044142985,0.000838946,0.036936331,-0.003000663,0.001233855,0.014038973,0.017779741,0.018823985
2003/12/1,0.006004888,0.029428718,0.029779974,0.040032416,0.039826255,0.00647233,0.030091811,-0.003143512,0.009777519,0.011498395,0.014648576,0.015193774
2004/1/1,0.006991464,0.028265061,0.029250982,0.035872189,0.035860662,0.002932078,0.032752866,-0.0030624,0.016831367,-2.76E-05,-0.004972225,0.004336295
2004/2/1,0.008602783,0.02677153,0.028096366,0.033455975,0.035268222,0.004591505,0.024422823,-0.002934408,0.01066715,-0.010037961,0.033227414,0.009142103
2004/3/1,0.010003996,0.025415331,0.026549936,0.031507862,0.031412353,0.006279641,0.036184849,-0.002659724,0.025874154,0.033976193,0.012277419,0.016747531
2004/4/1,0.010776918,0.024437021,0.024893204,0.030793621,0.028499315,0.005451892,0.006949244,-0.002527962,0.017395182,0.020423056,-0.001510438,0.007741345
2004/5/1,0.009129859,0.027177382,0.023147401,0.03945048,0.035473939,0.003062726,0.017233074,-0.002840128,0.016003275,0.008849762,0.026744915,0.01621644
2004/6/1,0.007598438,0.029609146,0.027995518,0.042682282,0.035666394,0.004693252,0.021323354,-0.002829892,0.001198166,0.020598322,0.00348425,0.018464581
2004/7/1,0.005849925,0.029909207,0.026727741,0.049083527,0.037708648,0.005455494,0.006582996,-0.002963879,0.005850651,0.01245607,0.006570941,0.009121055
2004/8/1,0.006072659,0.02926822,0.029187076,0.050324632,0.038451168,0.004880251,-0.006876292,-0.003038809,0.006532184,0.008763249,0.024617208,0.021635507
2004/9/1,0.006309171,0.028058955,0.027280952,0.052359725,0.036276414,0.001198196,0.003822025,-0.003052564,0.00300193,0.010641196,-0.000349996,0.014617124
2004/10/1,0.007750305,0.027399111,0.028663437,0.051459531,0.033966192,0.016357579,0.024326429,-0.003047756,0.018000752,0.003766579,0.009201757,0.007580929
2004/11/1,0.007951946,0.026387792,0.025133312,0.053626701,0.0340932,0.004227973,0.031941808,-0.003002822,0.009440208,0.01486037,0.014711849,0.01952869
2004/12/1,0.009259506,0.025355391,0.025904008,0.053151956,0.031898553,0.002630601,0.007842926,-0.00304461,0.011919944,0.010298449,0.002709085,0.00903855
2005/1/1,0.009559236,0.024036514,0.022955804,0.053275138,0.029580974,-0.000329331,0.000678316,-0.002949214,0.006358613,0.000632039,-0.001553139,-0.002288406
2005/2/1,0.009672532,0.02244034,0.02181935,0.051420688,0.027598049,0.001354095,0.008763666,-0.002753384,0.004686596,-0.009626187,0.021882451,0.007593958
2005/3/1,0.011292022,0.022902306,0.025146768,0.050777903,0.028687805,0.005330092,0.02050734,-0.003009207,0.005672692,0.019124653,0.037560083,0.014492676
2005/4/1,0.01109268,0.021141613,0.019464368,0.048658408,0.024970228,0.000857757,0.044662509,-0.002665296,0.014172885,0.018029292,-0.022007842,0.002906593
2005/5/1,0.010088067,0.020216236,0.020128658,0.044293036,0.022058903,0.005922958,-0.012317739,-0.002545414,0.016061948,0.00655366,0.017979857,0.01095588
2005/6/1,0.007824232,0.018557154,0.018144644,0.038665752,0.015192628,-0.001679055,-0.001115244,-0.002123609,0.004517354,0.013443366,0.00036238,0.010548485
2005/7/1,0.004526459,0.020307449,0.021240115,0.036691998,0.015404558,0.021843871,0.001162425,-0.002098423,0.022740986,0.008185273,-0.000369348,-0.001139473
2005/8/1,0.003582596,0.019808757,0.020523759,0.034668213,0.014341337,0.004198761,-0.011296874,-0.002018898,0.015471878,0.006308666,0.024075945,0.013692285
2005/9/1,0.003833396,0.022709686,0.024313189,0.035889175,0.019031294,0.004795829,0.00615477,-0.002126774,0.043313361,0.007899699,-0.004961966,0.00584651
2005/10/1,0.003828447,0.021626677,0.022204592,0.034209459,0.017626867,0.002164324,0.010054845,-0.002127542,0.034213875,0.00335428,0.008140194,0.000926058
2005/11/1,0.003193488,0.019036525,0.01894575,0.031711905,0.014259624,-0.001267128,0.01939705,-0.001609932,0.011103023,0.010688988,0.01068042,0.017234852
2005/12/1,0.003128932,0.018396144,0.01903567,0.030409124,0.013459737,-0.001901703,0.013275786,-0.00146035,0.014921016,0.005268507,-0.000298597,0.004399994
2006/1/1,0.003849386,0.019647805,0.020735881,0.030804568,0.0159122,-0.002572452,-0.000199922,-0.00150782,0.013814684,-0.000633469,0.00417978,0.000694184
2006/2/1,0.004451175,0.021657364,0.02309198,0.031188458,0.019280283,-0.000140516,0.014333724,-0.001558256,0.022920503,-0.017146921,0.021778328,0.006031952
2006/3/1,0.004443629,0.021996292,0.022846613,0.030281168,0.019635078,0.000987587,0.032180514,-0.001498514,0.023307679,0.026683824,0.020272986,0.015939713
2006/4/1,0.004022372,0.02217916,0.022085385,0.030231402,0.020123277,0.001175081,0.016170893,-0.000763674,0.028553981,0.013456299,-0.014367055,0.003653223
2006/5/1,0.005726882,0.024001816,0.025978691,0.029983456,0.022050509,0.005450769,-0.012365701,-0.001031004,0.051995214,0.007284239,0.019664797,0.011338246
2006/6/1,0.008186944,0.026610326,0.029704567,0.029190977,0.022730278,0.026337044,0.010840673,-0.000882385,0.075829196,0.014654539,-0.002453896,0.01333865
2006/7/1,0.008585813,0.02614385,0.027140604,0.027861649,0.021882701,0.014679054,0.005689085,-0.000899902,0.056892309,0.011890834,0.009901351,0.006566523
2006/8/1,0.007013045,0.023213171,0.024785519,0.023491357,0.019053054,0.01094404,0.035632753,-0.002220175,0.03891212,0.01008524,0.021187363,0.017310307
2006/9/1,0.00755849,0.021938737,0.022883408,0.021623037,0.018001552,0.005951022,0.026482839,-0.002341196,0.023726661,0.009590612,0.003100747,0.011349012
2006/10/1,0.008085669,0.021790953,0.023062815,0.019439138,0.016810826,0.00242113,0.016041152,-0.002354229,0.02741873,0.0054778,0.011591661,0.011537271
2006/11/1,0.008750958,0.018754907,0.022074691,0.014602585,0.012647804,0.003867686,0.017987819,-0.003439536,0.021720426,0.014755401,0.012419058,0.018864324
2006/12/1,0.011212645,0.017370245,0.020041055,0.011868626,0.010718001,0.006538111,0.011652131,-0.002906271,0.03162869,0.010563994,0.005548881,0.010904909
2007/1/1,0.014880899,0.014641416,0.019541507,0.006447772,0.008318112,0.018635019,0.017074707,-0.001592897,0.039855778,0.008437299,0.010162804,0.0049427
2007/2/1,0.015017827,0.011660848,0.01461063,0.005930733,0.010093311,0.030939134,0.038099045,-0.001298389,0.052213845,0.012043605,0.020645933,0.011146553
2007/3/1,0.014436806,0.010485487,0.011007163,0.007860592,0.009472553,0.031755966,0.025272176,-0.000934348,0.026875985,0.006287029,0.029068026,0.009037203
2007/4/1,0.014354417,0.00866994,0.010318662,0.007843212,0.008771283,0.011488228,0.031930552,-7.73E-05,0.046210337,0.024885713,0.0022014,0.01379804
2007/5/1,0.014976245,0.006081263,0.009074911,0.007637063,0.01134612,0.021428499,0.007745667,0.001825989,0.047291105,0.016113478,0.021971584,0.019775643
2007/6/1,0.015068548,0.004602552,0.003851475,0.009782355,0.011228417,0.024940946,0.012443457,0.002528041,0.040323228,0.022856433,0.008539608,0.021962858
2007/7/1,0.013672823,0.009230365,0.006055087,0.014613416,0.01081202,0.042863489,0.019982699,0.001776443,0.038998451,0.016959538,0.00747916,0.010407555
2007/8/1,0.016966314,0.011750457,0.014106638,0.012805749,0.011926255,0.032097992,0.023221066,0.003413308,0.015657656,0.016925566,0.032302898,0.015853549
2007/9/1,0.018379959,0.010941068,0.012029639,0.011816917,0.012870795,0.026257152,0.034859731,0.005033228,0.02298406,0.017812918,0.005524261,0.021471961
2007/10/1,0.018881501,0.010067902,0.009483956,0.011778765,0.013109422,0.019590843,0.041529602,0.005545855,0.013888991,0.015383475,0.028134623,0.017704129
2007/11/1,0.019378512,0.009125449,0.008493489,0.011771276,0.01367627,0.024082106,0.022456461,0.005894094,0.004229629,0.022892565,0.017769459,0.025578543
2007/12/1,0.015339665,0.005902464,0.00408514,0.011481539,0.010621211,0.034220556,0.021145063,0.003955427,-0.001770749,0.016591079,0.014238717,0.017380519
2008/1/1,0.017205445,0.005093837,0.004638717,0.0107926,0.011353569,0.016187455,0.030113226,0.004835335,0.000405756,0.014815408,0.01533641,0.020495683
2008/2/1,0.010615891,0.005136813,-0.000823423,0.016360938,0.010652786,0.043677539,0.034381415,0.003158306,0.007928168,-0.003441581,0.023391091,0.005937365
2008/3/1,0.00940607,0.004931619,0.002810902,0.018083624,0.010447671,0.032279238,0.037928163,0.003108405,-0.003854981,0.030299794,0.035159536,0.019863429
2008/4/1,-0.001711919,0.006885784,-0.000386699,0.02507914,0.010235493,0.037106673,0.059056161,0.001119306,0.003019501,0.020226999,0.003756967,0.019305504
2008/5/1,-0.000565697,0.006936458,0.006763346,0.026734388,0.013102475,0.062194697,0.000192154,0.001529521,0.003231248,0.015645906,0.015316481,0.014987771
2008/6/1,-0.003828224,0.010307615,0.007427057,0.030419023,0.013564761,0.020406619,0.013816182,0.000875605,0.005679885,0.017208957,0.013294246,0.01380383
2008/7/1,0.000309478,0.025208878,0.019598869,0.034560715,0.016628139,0.040476193,0.003162575,-0.000877344,0.001719021,0.014188606,0.013930676,0.012334607
2008/8/1,0.002654173,0.027121232,0.028473437,0.03479244,0.017394401,0.022050114,0.006943175,-0.000715142,0.011488078,0.013271868,0.016349827,0.016593365
2008/9/1,-0.000929172,0.028311582,0.025891387,0.032569323,0.019728914,0.028793627,0.01129718,-0.001875855,0.001444365,0.012819891,0.008848447,0.015940415
2008/10/1,-0.003809771,0.027768708,0.02847906,0.030455589,0.020086315,0.033526989,0.007155167,-0.002208461,0.005005147,0.011062553,0.018352589,0.013871427
2008/11/1,-0.004571306,0.028927025,0.026853376,0.018803458,0.022820901,0.018222841,0.007231746,-0.0036233,0.011832447,0.011877415,0.005439048,0.015116146
2008/12/1,-0.000684772,0.030762197,0.035873923,0.023325427,0.022746702,0.021754748,0.002075912,-0.003090961,0.035293876,0.010995878,0.012305198,0.011289932
2009/1/1,-0.002010857,0.029175792,0.032241507,0.020964933,0.021448014,0.012981068,-0.007690366,-0.003268145,0.050099657,0.005901808,-0.00315142,0.001148049
2009/2/1,-0.000712082,0.029478685,0.033879573,0.024231067,0.021832326,0.009939374,0.004748697,-0.002675888,0.016823159,0.000133023,0.026058802,0.001057818
2009/3/1,3.13E-05,0.029012648,0.032467698,0.024907053,0.020935714,0.016554313,0.025229749,-0.002347369,0.069461273,0.018807727,0.008376719,0.00938109
2009/4/1,0.001717787,0.028772633,0.033879521,0.028028564,0.019108948,0.014149565,0.009431014,-0.001343505,0.048448371,0.016012915,-0.001885138,0.004762342
2009/5/1,0.005741193,0.027804718,0.030496854,0.026379222,0.018941058,0.012202372,0.003975324,-0.001020537,0.053277353,0.012296303,0.02496954,0.011722708
2009/6/1,0.009460838,0.026272914,0.029130889,0.024414304,0.017631748,0.00977724,0.006301809,-0.00059966,0.032563882,0.015188372,0.009916955,0.012759304
2009/7/1,0.016210275,0.025613313,0.029428287,0.022019414,0.015736074,0.010605343,0.00529727,0.000317425,0.036291124,0.014244162,0.004165472,0.009692916
2009/8/1,0.019591625,0.024232049,0.028981686,0.020037975,0.013956014,0.01465288,0.002857426,0.001474387,0.049307183,0.013920951,0.023898144,0.014644553
2009/9/1,0.018754503,0.026918305,0.022361136,0.021689556,0.017951958,0.021788412,0.010349084,-9.59E-05,0.037393981,0.013541591,0.011801106,0.012847163
2009/10/1,0.019881218,0.02592165,0.028014137,0.020519773,0.016818297,0.013276866,0.020051734,0.000193183,0.028711585,0.008554769,0.015425801,0.013212465
2009/11/1,0.021075773,0.025035577,0.02777062,0.019542926,0.015489433,0.012267904,0.018582893,0.000782615,0.010664044,0.016678831,0.010430831,0.013438932
2009/12/1,0.018469507,0.021784483,0.024190942,0.018340484,0.013887789,0.014013286,0.009323421,0.00131644,0.037163926,0.013566376,0.014688608,0.014006652
2010/1/1,0.018475665,0.020925093,0.021905401,0.017662283,0.013191317,0.012039433,0.017105985,0.001445645,0.021931782,0.010867261,0.011605745,0.013906638
2010/2/1,0.016511371,0.021845217,0.020246555,0.018968052,0.015814225,0.011237964,0.029870915,0.000804908,0.019377144,0.009010202,0.014246857,0.012826925
2010/3/1,0.015348202,0.020905441,0.022181708,0.018786972,0.014826347,0.009707718,0.02217688,0.000946304,-0.0014168,0.0103017,0.02216596,0.013390098
2010/4/1,0.014441188,0.02035695,0.021244439,0.018783971,0.014146428,0.010311683,0.033613256,0.001060296,0.013960954,0.021750232,0.006956248,0.013171715
2010/5/1,0.010749397,0.021565131,0.020098383,0.021055646,0.017177056,0.010748336,-0.002560208,0.000495658,0.020199047,0.012822112,0.013540726,0.013321355
2010/6/1,0.008371008,0.023325758,0.022054525,0.022780886,0.018756174,0.014313192,0.013340276,-0.000122362,0.009629164,0.015021712,0.013824073,0.012650625
2010/7/1,0.005604055,0.02430723,0.023764259,0.023713846,0.020031298,0.010454679,0.007197537,-0.00061222,0.003951353,0.012245785,0.010912337,0.011811751
2010/8/1,0.010649155,0.025668225,0.030060293,0.023827724,0.018937228,0.010095061,-0.001401672,7.64E-05,0.012688173,0.012179499,0.015121675,0.013092463
2010/9/1,0.008873267,0.02477841,0.026546714,0.023918934,0.017997092,0.010280102,0.017234842,0.000198719,0.021705784,0.012689112,0.010204929,0.012269091
2010/10/1,0.008541982,0.024664241,0.026254029,0.023853892,0.01716593,0.008725313,0.020845231,0.000204082,0.013925737,0.010074227,0.015232508,0.012564718
2010/11/1,0.007589722,0.0227724,0.026272226,0.023691183,0.015411954,0.01070391,0.021545816,0.000990656,0.022289505,0.014158849,0.00627321,0.013598844
